Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	39/128	7.649902e-07	3.871615e-03	0	0	2.772696e+00	3.904899e+01	BUB1B;CDCA8;WDR62;KIF11;PMF1;CENPA;AURKB;AURKA;CDC20;MECP2;NUF2;NUSAP1;RCC1;NUP43;BUB3;BUB1;DLGAP5;NDEL1;NUDC;RCC2;NDE1;TUBG2;EML1;NDC80;ZWINT;DYNC1LI2;KIF18A;CENPF;ESPL1;KIF4A;SBDS;TACC3;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	18/46	1.754819e-05	3.755182e-02	0	0	4.050729e+00	4.435775e+01	IL10;ARF1;GSTO1;RPLP0;MIF;TYK2;LMNB1;IFNG;CAPZA1;HNRNPF;CFL1;HNRNPA2B1;TCP1;PDCD4;IL12B;PSME2;LCP1;P4HB
GO_Biological_Process_2021	regulation of ruffle assembly (GO:1900027)	12/24	2.417393e-05	3.755182e-02	0	0	6.293173e+00	6.689791e+01	NLGN1;P2RX4;CAV1;RDX;PLEKHM1;EPS8L1;STAP1;EVL;USP17L2;PFN1;ARHGAP24;NDEL1
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	18/48	3.461000e-05	3.755182e-02	0	0	3.780241e+00	3.882825e+01	IL10;ARF1;GSTO1;RPLP0;MIF;TYK2;LMNB1;IFNG;CAPZA1;HNRNPF;CFL1;HNRNPA2B1;TCP1;PDCD4;IL12B;PSME2;LCP1;P4HB
GO_Biological_Process_2021	regulation of nitric oxide biosynthetic process (GO:0045428)	16/40	3.709921e-05	3.755182e-02	0	0	4.198659e+00	4.283437e+01	HSP90AA1;PTGIS;CAV1;HBB;PKD2;KLF4;CLU;P2RX4;DDAH1;IFNG;KHSRP;NOS1AP;CD36;CD34;GLA;TLR4
GO_Biological_Process_2021	negative regulation of cAMP-mediated signaling (GO:0043951)	7/10	7.572095e-05	5.035888e-02	0	0	1.466497e+01	1.391479e+02	RNF157;PDE11A;UBE2B;MGRN1;PDE2A;PDE3B;PDE3A
GO_Biological_Process_2021	negative regulation of cell-substrate junction organization (GO:0150118)	9/16	7.960305e-05	5.035888e-02	0	0	8.084714e+00	7.630723e+01	ACVRL1;BCAS3;SRC;RCC2;DLC1;FAM107A;ITGB1BP1;ARHGAP6;PHLDB2
GO_Biological_Process_2021	negative regulation of focal adhesion assembly (GO:0051895)	9/16	7.960305e-05	5.035888e-02	0	0	8.084714e+00	7.630723e+01	ACVRL1;BCAS3;SRC;RCC2;DLC1;FAM107A;ITGB1BP1;ARHGAP6;PHLDB2
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	39/157	1.393488e-04	7.836046e-02	0	0	2.087736e+00	1.853603e+01	BUB1B;CDCA8;WDR62;KIF11;PMF1;CENPA;AURKB;AURKA;CDC20;MECP2;CHEK2;NUF2;RCC1;NUP43;BUB3;BUB1;DLGAP5;NDEL1;NUDC;RCC2;NDE1;TUBG2;EML1;NDC80;ZWINT;TPX2;DYNC1LI2;KIF18A;CENPF;KIFC1;KIF4A;SBDS;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	37/149	2.053209e-04	1.038368e-01	0	0	2.085973e+00	1.771186e+01	CCL11;DOCK9;HMGB2;MTMR9;SNX13;RASGRP1;DOCK11;CCL8;SH3BP1;RGS1;CCL5;RPS3;SNX9;CCL1;CCL19;CCL17;CCL16;NDEL1;CCL25;BCAS3;CCL24;CCL22;CAV2;RHOC;USP17L2;BMP2;PINK1;SNX18;RGS10;RAPGEF2;PLXNB1;CALM1;ARHGEF7;AGRN;RAPGEF3;EZH2;PICALM
GO_Biological_Process_2021	regulation of cellular component organization (GO:0051128)	35/139	2.256875e-04	1.038368e-01	0	0	2.124430e+00	1.783748e+01	FAM107A;HJURP;KIF14;STON1;HNRNPU;MKI67;NUBP1;AURKA;KIAA1109;STK11;ALKBH4;AP2S1;PACSIN3;CD36;PACSIN1;HSP90AA1;RAB4B;EGLN2;CISH;WNT3A;WNT5A;TRAF2;PTPN11;CDK11B;ERMN;MAD2L2;TJP1;PINK1;ANGPTL7;CDH13;RAPGEF2;ATF5;SGK2;PICALM;PAPPA2
GO_Biological_Process_2021	regulation of GTPase activity (GO:0043087)	44/189	2.641469e-04	1.114040e-01	0	0	1.917318e+00	1.579679e+01	CCL11;RABGAP1;DOCK9;SNX13;RASGRP1;FGD3;DOCK11;FGD4;SIPA1L1;CCL8;FGD6;SH3BP1;RGS1;CCL5;SNX9;CCL1;CCL19;CCL17;TBC1D15;PRKG1;CCL16;NDEL1;EPHA5;VAV3;CCL25;BCAS3;CCL24;CCL22;CAV2;RCC2;RDX;GMIP;USP17L2;SNX18;RGS10;RAPGEF2;PLXNB1;ITGB1BP1;ARHGEF7;AGRN;EPHA3;RAPGEF3;EZH2;PICALM
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	17/51	3.015993e-04	1.174149e-01	0	0	3.148317e+00	2.552156e+01	CDT1;NUDC;KIF14;CDCA8;NDC80;KIF18A;PSRC1;KIFC1;NUF2;NUP62;CHMP2B;CHMP2A;CHMP4B;CHMP4A;KIF2C;CEP55;MAD1L1
GO_Biological_Process_2021	positive regulation of GTPase activity (GO:0043547)	48/214	3.594921e-04	1.299564e-01	0	0	1.827474e+00	1.449337e+01	CCL11;RABGAP1;DOCK9;SNX13;CXCL13;SIPA1L3;RASGRP1;DOCK11;SIPA1L1;CCL8;SH3BP1;RGS1;CCL5;TBC1D10C;TBC1D14;SNX9;CCR7;CCL1;CCL19;CCL17;CCL16;TBC1D15;NDEL1;CCL25;RAP1GAP2;CCL24;BCAS3;CCL22;ARHGEF15;CAV2;ARHGEF19;FOXJ1;TBC1D2B;TSC1;GMIP;USP17L2;ARHGAP24;SNX18;TBC1D5;RGS10;RAPGEF2;TBC1D25;PLXNB1;ARHGEF7;AGRN;RAPGEF3;EZH2;PICALM
GO_Biological_Process_2021	positive regulation of vascular permeability (GO:0043117)	7/12	3.877461e-04	1.308255e-01	0	0	8.797959e+00	6.910938e+01	TJP1;TGFB1;ANGPT1;PDE2A;PDE3A;BMP6;TJP3
GO_Biological_Process_2021	regulation of cell adhesion (GO:0030155)	33/133	4.470388e-04	1.352299e-01	0	0	2.082108e+00	1.605902e+01	ACVRL1;ADAMDEC1;SRC;PDE3B;KIF14;CXCR4;CELSR2;EPB41L4B;NUAK1;FUT7;HYAL1;ARHGDIA;CCL5;CXCR3;ARHGDIB;RAC2;IL12B;LPXN;CCR7;STX4;ZFHX3;ANGPT1;TNFRSF18;IL18;PTPN11;RHOD;MYADM;CDH13;ADAM8;PRKD2;PLXNB1;ITGB1BP1;P4HB
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	115/621	4.563850e-04	1.352299e-01	0	0	1.443561e+00	1.110412e+01	CSF3;IFITM1;IFI35;CXCL13;IFI30;IL27RA;PYCARD;PSMD4;CFL1;LEPR;IL12B;TNFSF11;TRIM26;SKP1;CISH;IL1R1;FBXW11;HGF;MIF;PSME1;PSME2;IFNAR1;ALOX15;TWIST1;SOCS1;HLA-DRB5;TGFB1;TNFRSF9;ISG15;SMARCA4;BST2;NFKBIA;CXCL10;FER;IL6;HNRNPF;PYDC1;CD27;MYD88;ARF1;CDKN1A;CXCL9;EDA;TNFRSF13B;FLT3;RPLP0;IL24;IFNA8;EDA2R;LMNB1;GHR;CD36;IL10;HSP90AA1;GSTO1;TNFRSF18;MMP3;IL18;TRAF2;TRAF1;TYK2;MMP9;PSMA5;PIK3CA;IFNG;IRF1;TCP1;IRF2;IFNK;IRF7;LTA;BIRC5;RHOU;LCP1;LTB;HLA-DQB2;IL9R;IRF9;HLA-DQB1;BIRC3;CEBPA;CCL11;SRC;CAMK2A;IL2RG;PSMB10;MUC1;PSMB5;CCL8;CCL5;IL21R;STX4;CCL1;CSK;NCAM1;CCL19;CCL17;CCL16;CCL25;IL32;CCL24;MAP3K3;CCL22;PTPN11;PSMB8;BATF;PSMC3;PSMC4;TNIP2;LEP;CAPZA1;HNRNPA2B1;PDCD4;PTPN6;P4HB
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	27/102	4.861295e-04	1.352299e-01	0	0	2.269692e+00	1.731556e+01	AKAP8L;KIF14;CDCA8;NCAPG;NCAPH;NUP62;NUSAP1;CEP55;DLGAP5;NUDC;CSNK2A2;KIF25;INO80;TUBG2;NDC80;ZWINT;KIF18A;KIF18B;PSRC1;ESPL1;KIFC1;CHMP2B;CDK1;CHMP2A;CHMP4B;CHMP4A;KIF2C
GO_Biological_Process_2021	positive regulation of nitric oxide biosynthetic process (GO:0045429)	11/27	5.076800e-04	1.352299e-01	0	0	4.323974e+00	3.280019e+01	HSP90AA1;P2RX4;DDAH1;IFNG;NOS1AP;HBB;CD36;PKD2;KLF4;CLU;TLR4
GO_Biological_Process_2021	mitotic cytokinesis (GO:0000281)	16/49	5.839807e-04	1.477763e-01	0	0	3.051975e+00	2.272391e+01	USP8;RHOC;CENPA;CIT;SNX18;SON;ESPL1;APC;KIF4A;NUSAP1;CHMP4B;JTB;SNX9;KIF20A;CEP55;SPTBN1
GO_Biological_Process_2021	glycogen metabolic process (GO:0005977)	11/28	7.329882e-04	1.629094e-01	0	0	4.069386e+00	2.937438e+01	GYS2;UGP2;GBE1;STBD1;PHKG2;PYGM;PHKB;NR1D1;GYG2;CALM1;PHKA2
GO_Biological_Process_2021	positive regulation of nitric oxide metabolic process (GO:1904407)	11/28	7.329882e-04	1.629094e-01	0	0	4.069386e+00	2.937438e+01	HSP90AA1;P2RX4;DDAH1;IFNG;NOS1AP;HBB;CD36;PKD2;KLF4;CLU;TLR4
GO_Biological_Process_2021	negative regulation of autophagosome assembly (GO:1902902)	7/13	7.403509e-04	1.629094e-01	0	0	7.331207e+00	5.284618e+01	PINK1;PHF23;FEZ1;FEZ2;CHMP4B;CHMP4A;MTM1
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	14/42	1.007597e-03	1.931728e-01	0	0	3.145963e+00	2.170773e+01	CCL25;CCL24;CCL11;CCL22;IL6;CCL8;RPS19;CCL5;TNFSF11;CCL1;CCL19;FOLR2;CCL17;CCL16
GO_Biological_Process_2021	mitotic spindle assembly checkpoint signaling (GO:0007094)	9/21	1.068543e-03	1.931728e-01	0	0	4.714716e+00	3.225553e+01	CDC20;MAD2L2;CENPF;APC;BUB1B;BUB3;BUB1;ZWINT;MAD1L1
