Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Malaria	17/50	2.302938e-04	7.277284e-02	0	0	3.243909e+00	2.717149e+01	IL10;CSF3;TGFB1;HGF;IL18;HBB;HBA2;HBA1;ITGAL;COMP;IL6;IFNG;CR1L;PECAM1;CD36;TLR4;MYD88
KEGG_2021_Human	C-type lectin receptor signaling pathway	27/104	6.750356e-04	1.066556e-01	0	0	2.210481e+00	1.613816e+01	CLEC4M;SRC;ITPR1;PIK3R3;PIK3R2;RELB;PYCARD;PAK1;IL12B;IKBKE;CCL17;IL10;PLK3;CCL22;PTPN11;NFKB2;NFKBIA;MAPK10;IL6;PIK3CA;CD209;CLEC6A;IRF1;MAPKAPK2;BCL3;CALM1;IRF9
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	25/100	1.859581e-03	1.958759e-01	0	0	2.100024e+00	1.320370e+01	CXCL9;CCL11;CCL3L3;IL24;CXCR4;CXCL13;IL2RG;CCL8;CCL5;CXCR3;CCR7;CCL1;CCL19;CCL17;CCL16;IL10;CCL25;CCL24;CCL22;IL18;TNFRSF10D;CXCL10;IL6;LTA;CCL27
KEGG_2021_Human	Apoptosis	32/142	2.942010e-03	2.324188e-01	0	0	1.833722e+00	1.068815e+01	BCL2A1;ITPR1;PIK3R3;XIAP;PIK3R2;LMNB2;BBC3;LMNB1;TUBA3E;CASP7;TUBA3D;CASP12;TUBA1A;TUBA3C;CASP6;PMAIP1;CASP2;CTSF;BAK1;CTSD;MAP3K5;DAXX;MAP2K2;PARP1;TRAF2;TRAF1;GADD45G;NFKBIA;MAPK10;PIK3CA;BIRC5;BIRC3
KEGG_2021_Human	Antigen processing and presentation	20/78	3.709771e-03	2.344575e-01	0	0	2.170608e+00	1.214843e+01	PDIA3;CD74;HSP90AA1;HLA-DRB5;HSPA5;TAP1;RFXANK;HSPA2;IFI30;TAPBP;IFNG;CD8A;RFX5;RFXAP;PSME1;PSME2;CALR;HLA-DOB;HLA-DQB1;LGMN
KEGG_2021_Human	Osteoclast differentiation	28/127	7.072916e-03	3.015694e-01	0	0	1.781309e+00	8.820121e+00	ITGB3;SIRPG;PIK3R3;PIK3R2;RELB;CALCR;SOCS1;FCGR3B;BLNK;TNFSF11;MAP2K6;TGFB1;IL1R1;CYBA;MITF;TRAF2;TYK2;LILRB5;NFKB2;TGFBR2;NFKBIA;MAPK10;IFNG;PIK3CA;CAMK4;FOSB;IRF9;IFNAR1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	56/295	7.171495e-03	3.015694e-01	0	0	1.478889e+00	7.302225e+00	ACVRL1;CSF3;CXCL9;EDA;TNFRSF13B;IL24;MPL;CXCL13;IFNA8;EDA2R;IL27RA;GHR;LEPR;IL12B;TNFSF11;CCR7;IL10;IL1R1;TNFRSF18;IL18;TGFBR2;IFNG;IFNK;LTA;LTB;IL9R;IFNAR1;CCL11;CCL3L3;CXCR4;IL2RG;ACVR1C;CCL8;CXCR3;CCL5;IL21R;CCL1;CCL19;CCL17;RELT;CCL16;CCL25;IL32;CCL24;CCL22;TGFB1;TNFRSF9;BMP8A;BMP6;TNFRSF10D;CXCL10;BMP2;IL6;LEP;CD27;CCL27
KEGG_2021_Human	Phagosome	32/152	8.553549e-03	3.015694e-01	0	0	1.679931e+00	7.998840e+00	STX12;CLEC4M;ITGB3;CORO1A;COMP;TUBB8;EEA1;TUBA3E;TUBA3D;FCGR3B;TUBA1A;TUBA3C;MRC1;CD36;NOS1;ATP6V1E1;ATP6V0E2;HLA-DOB;ATP6V0A1;HLA-DRB5;STX7;SFTPD;TAP1;CYBA;DYNC1LI2;HGS;CD209;CALR;SFTPA1;TLR4;HLA-DQB1;VAMP3
KEGG_2021_Human	African trypanosomiasis	11/37	8.999189e-03	3.015694e-01	0	0	2.659363e+00	1.252725e+01	IL10;IL6;IFNG;LAMA4;IL18;HBB;IL12B;HBA2;HPR;HBA1;MYD88
KEGG_2021_Human	Cell cycle	27/124	9.543334e-03	3.015694e-01	0	0	1.752668e+00	8.153259e+00	CDKN1A;CCNH;BUB1B;PKMYT1;ANAPC10;ANAPC11;CDC20;CCNB2;CDC45;PTTG1;CHEK2;BUB3;BUB1;SKP1;ZBTB17;TGFB1;CDC6;CDC25C;GADD45G;RBL2;MAD2L2;WEE1;ESPL1;CDK1;MCM5;MAD1L1;MCM2
