Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Mitotic Anaphase R-HSA-68882	55/232	2.863218e-05	2.686126e-02	0	0	1.967678e+00	2.058383e+01	BUB1B;LMNB1;CDC20;TUBB8;TUBA1A;PPP2R1B;PSMD4;PTTG1;NUF2;NUP62;RCC1;NDEL1;NUDC;TUBA4B;PSMA5;DYNC1LI2;ESPL1;PSME1;PSME2;CHMP4B;BIRC5;KIF2C;MAD1L1;PAFAH1B1;CDCA8;CENPA;ANAPC10;AURKB;PSMB10;ANAPC11;TUBA3E;CCNB2;TUBA3D;PSMB5;TUBA3C;NUP43;BUB3;BUB1;UBE2I;UBE2C;RCC2;NDE1;ZWINT;PSMB8;NDC80;CENPF;KIF18A;PSMC3;PSMC4;CHMP2B;CDK1;CHMP2A;CENPM;CENPP;SPC25
Reactome_2022	Mitotic Metaphase And Anaphase R-HSA-2555396	55/233	3.253938e-05	2.686126e-02	0	0	1.956509e+00	2.021672e+01	BUB1B;LMNB1;CDC20;TUBB8;TUBA1A;PPP2R1B;PSMD4;PTTG1;NUF2;NUP62;RCC1;NDEL1;NUDC;TUBA4B;PSMA5;DYNC1LI2;ESPL1;PSME1;PSME2;CHMP4B;BIRC5;KIF2C;MAD1L1;PAFAH1B1;CDCA8;CENPA;ANAPC10;AURKB;PSMB10;ANAPC11;TUBA3E;CCNB2;TUBA3D;PSMB5;TUBA3C;NUP43;BUB3;BUB1;UBE2I;UBE2C;RCC2;NDE1;ZWINT;PSMB8;NDC80;CENPF;KIF18A;PSMC3;PSMC4;CHMP2B;CDK1;CHMP2A;CENPM;CENPP;SPC25
Reactome_2022	RHO GTPases Activate Formins R-HSA-5663220	32/119	1.117814e-04	5.899177e-02	0	0	2.321611e+00	2.112426e+01	SRC;BUB1B;CDCA8;CENPA;AURKB;CDC20;PPP2R1B;NUF2;NUP43;BUB3;BUB1;NDEL1;NUDC;RCC2;NDE1;RHOC;RNASE1;RHOD;NDC80;ZWINT;DYNC1LI2;KIF18A;CENPF;BIRC5;CENPM;EVL;KIF2C;PFN1;CENPP;MAD1L1;PAFAH1B1;SPC25
Reactome_2022	Interleukin-12 Signaling R-HSA-9020591	16/44	1.429237e-04	5.899177e-02	0	0	3.598015e+00	3.185395e+01	IL10;GSTO1;RPLP0;TYK2;LMNB1;IFNG;VPS72;CAPZA1;HNRNPF;HNRNPA2B1;TCP1;PDCD4;IL12B;PSME2;P4HB;AURKAIP1
Reactome_2022	Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444	26/93	2.425338e-04	8.008466e-02	0	0	2.446841e+00	2.036841e+01	BUB1B;CDCA8;CENPA;AURKB;CDC20;PPP2R1B;NUF2;NUP43;BUB3;BUB1;NDEL1;NUDC;NDE1;RCC2;NDC80;ZWINT;DYNC1LI2;CENPF;KIF18A;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
Reactome_2022	Mitotic Spindle Checkpoint R-HSA-69618	29/110	3.300769e-04	8.217451e-02	0	0	2.258107e+00	1.810141e+01	BUB1B;CDCA8;CENPA;ANAPC10;AURKB;ANAPC11;CDC20;PPP2R1B;NUF2;NUP43;BUB3;BUB1;NDEL1;NUDC;UBE2C;RCC2;NDE1;NDC80;ZWINT;DYNC1LI2;KIF18A;CENPF;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
Reactome_2022	Separation Of Sister Chromatids R-HSA-2467813	40/170	3.895515e-04	8.217451e-02	0	0	1.942967e+00	1.525329e+01	BUB1B;CDCA8;CENPA;ANAPC10;AURKB;PSMB10;ANAPC11;CDC20;PSMB5;PPP2R1B;PSMD4;PTTG1;NUF2;NUP43;BUB3;BUB1;NDEL1;NUDC;UBE2C;RCC2;NDE1;NDC80;ZWINT;PSMB8;PSMA5;DYNC1LI2;KIF18A;CENPF;ESPL1;PSMC3;PSMC4;PSME1;PSME2;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
Reactome_2022	Resolution Of Sister Chromatid Cohesion R-HSA-2500257	28/106	4.005331e-04	8.217451e-02	0	0	2.263661e+00	1.770797e+01	BUB1B;CDCA8;CENPA;AURKB;CDC20;CCNB2;PPP2R1B;NUF2;NUP43;BUB3;BUB1;NDEL1;NUDC;RCC2;NDE1;NDC80;ZWINT;DYNC1LI2;KIF18A;CENPF;CDK1;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
Reactome_2022	Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505	13/35	4.679552e-04	8.217451e-02	0	0	3.717893e+00	2.850560e+01	IL10;GSTO1;RPLP0;LMNB1;IFNG;VPS72;CAPZA1;HNRNPF;HNRNPA2B1;TCP1;PDCD4;PSME2;AURKAIP1
Reactome_2022	EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025	26/97	4.977257e-04	8.217451e-02	0	0	2.308453e+00	1.755685e+01	BUB1B;CDCA8;CENPA;AURKB;CDC20;PPP2R1B;NUF2;NUP43;BUB3;BUB1;NDEL1;NUDC;RCC2;NDE1;NDC80;ZWINT;DYNC1LI2;KIF18A;CENPF;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
