Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	39/128	7.649902083080252e-07	0.0038716154442469	0	0	2.772695634881177	39.04898947559453	BUB1B;CDCA8;WDR62;KIF11;PMF1;CENPA;AURKB;AURKA;CDC20;MECP2;NUF2;NUSAP1;RCC1;NUP43;BUB3;BUB1;DLGAP5;NDEL1;NUDC;RCC2;NDE1;TUBG2;EML1;NDC80;ZWINT;DYNC1LI2;KIF18A;CENPF;ESPL1;KIF4A;SBDS;TACC3;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	18/46	1.7548190096985735e-05	0.0375518210802414	0	0	4.050729183001411	44.35775191609649	IL10;ARF1;GSTO1;RPLP0;MIF;TYK2;LMNB1;IFNG;CAPZA1;HNRNPF;CFL1;HNRNPA2B1;TCP1;PDCD4;IL12B;PSME2;LCP1;P4HB
GO_Biological_Process_2021	regulation of ruffle assembly (GO:1900027)	12/24	2.4173928843235105e-05	0.0375518210802414	0	0	6.293172690763052	66.89790979690657	NLGN1;P2RX4;CAV1;RDX;PLEKHM1;EPS8L1;STAP1;EVL;USP17L2;PFN1;ARHGAP24;NDEL1
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	18/48	3.4610004874629857e-05	0.0375518210802414	0	0	3.780241492864984	38.82825059283351	IL10;ARF1;GSTO1;RPLP0;MIF;TYK2;LMNB1;IFNG;CAPZA1;HNRNPF;CFL1;HNRNPA2B1;TCP1;PDCD4;IL12B;PSME2;LCP1;P4HB
GO_Biological_Process_2021	regulation of nitric oxide biosynthetic process (GO:0045428)	16/40	3.709921070958456e-05	0.0375518210802414	0	0	4.198659354052407	42.83436526983704	HSP90AA1;PTGIS;CAV1;HBB;PKD2;KLF4;CLU;P2RX4;DDAH1;IFNG;KHSRP;NOS1AP;CD36;CD34;GLA;TLR4
GO_Biological_Process_2021	negative regulation of cAMP-mediated signaling (GO:0043951)	7/10	7.572095083083113e-05	0.0503588806427551	0	0	14.664965986394558	139.1478797300525	RNF157;PDE11A;UBE2B;MGRN1;PDE2A;PDE3B;PDE3A
GO_Biological_Process_2021	negative regulation of cell-substrate junction organization (GO:0150118)	9/16	7.96030517964911e-05	0.0503588806427551	0	0	8.0847139731166	76.30723430158288	ACVRL1;BCAS3;SRC;RCC2;DLC1;FAM107A;ITGB1BP1;ARHGAP6;PHLDB2
GO_Biological_Process_2021	negative regulation of focal adhesion assembly (GO:0051895)	9/16	7.96030517964911e-05	0.0503588806427551	0	0	8.0847139731166	76.30723430158288	ACVRL1;BCAS3;SRC;RCC2;DLC1;FAM107A;ITGB1BP1;ARHGAP6;PHLDB2
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	39/157	0.00013934877851085934	0.0783604631159399	0	0	2.0877362381880906	18.536030012212358	BUB1B;CDCA8;WDR62;KIF11;PMF1;CENPA;AURKB;AURKA;CDC20;MECP2;CHEK2;NUF2;RCC1;NUP43;BUB3;BUB1;DLGAP5;NDEL1;NUDC;RCC2;NDE1;TUBG2;EML1;NDC80;ZWINT;TPX2;DYNC1LI2;KIF18A;CENPF;KIFC1;KIF4A;SBDS;BIRC5;CENPM;KIF2C;CENPP;MAD1L1;PAFAH1B1;SPC25
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	37/149	0.000205320898933598	0.1038367636427821	0	0	2.085972865564796	17.711863021401847	CCL11;DOCK9;HMGB2;MTMR9;SNX13;RASGRP1;DOCK11;CCL8;SH3BP1;RGS1;CCL5;RPS3;SNX9;CCL1;CCL19;CCL17;CCL16;NDEL1;CCL25;BCAS3;CCL24;CCL22;CAV2;RHOC;USP17L2;BMP2;PINK1;SNX18;RGS10;RAPGEF2;PLXNB1;CALM1;ARHGEF7;AGRN;RAPGEF3;EZH2;PICALM
GO_Biological_Process_2021	regulation of cellular component organization (GO:0051128)	35/139	0.00022568749260434772	0.1038367636427821	0	0	2.1244300158604283	17.837477703227663	FAM107A;HJURP;KIF14;STON1;HNRNPU;MKI67;NUBP1;AURKA;KIAA1109;STK11;ALKBH4;AP2S1;PACSIN3;CD36;PACSIN1;HSP90AA1;RAB4B;EGLN2;CISH;WNT3A;WNT5A;TRAF2;PTPN11;CDK11B;ERMN;MAD2L2;TJP1;PINK1;ANGPTL7;CDH13;RAPGEF2;ATF5;SGK2;PICALM;PAPPA2
GO_Biological_Process_2021	regulation of GTPase activity (GO:0043087)	44/189	0.0002641468972218322	0.1114039539033077	0	0	1.9173178095104648	15.796791365598429	CCL11;RABGAP1;DOCK9;SNX13;RASGRP1;FGD3;DOCK11;FGD4;SIPA1L1;CCL8;FGD6;SH3BP1;RGS1;CCL5;SNX9;CCL1;CCL19;CCL17;TBC1D15;PRKG1;CCL16;NDEL1;EPHA5;VAV3;CCL25;BCAS3;CCL24;CCL22;CAV2;RCC2;RDX;GMIP;USP17L2;SNX18;RGS10;RAPGEF2;PLXNB1;ITGB1BP1;ARHGEF7;AGRN;EPHA3;RAPGEF3;EZH2;PICALM
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	17/51	0.0003015993069545136	0.117414930192061	0	0	3.1483174835406	25.5215561718434	CDT1;NUDC;KIF14;CDCA8;NDC80;KIF18A;PSRC1;KIFC1;NUF2;NUP62;CHMP2B;CHMP2A;CHMP4B;CHMP4A;KIF2C;CEP55;MAD1L1
GO_Biological_Process_2021	positive regulation of GTPase activity (GO:0043547)	48/214	0.00035949211547076	0.1299563997426797	0	0	1.8274741585654493	14.493365523239092	CCL11;RABGAP1;DOCK9;SNX13;CXCL13;SIPA1L3;RASGRP1;DOCK11;SIPA1L1;CCL8;SH3BP1;RGS1;CCL5;TBC1D10C;TBC1D14;SNX9;CCR7;CCL1;CCL19;CCL17;CCL16;TBC1D15;NDEL1;CCL25;RAP1GAP2;CCL24;BCAS3;CCL22;ARHGEF15;CAV2;ARHGEF19;FOXJ1;TBC1D2B;TSC1;GMIP;USP17L2;ARHGAP24;SNX18;TBC1D5;RGS10;RAPGEF2;TBC1D25;PLXNB1;ARHGEF7;AGRN;RAPGEF3;EZH2;PICALM
GO_Biological_Process_2021	positive regulation of vascular permeability (GO:0043117)	7/12	0.0003877460683651498	0.1308255234664015	0	0	8.79795918367347	69.10937614246944	TJP1;TGFB1;ANGPT1;PDE2A;PDE3A;BMP6;TJP3
